Customer_Depot_FK,One_way_distance,Supplier_Depot_FK
55.0,587.69,10.0
57.0,139.62,10.0
58.0,139.62,10.0
60.0,544.51,10.0
1.0,163.74,11.0
2.0,330.86,11.0
4.0,169.04,11.0
5.0,212.75,11.0
6.0,159.89,11.0
7.0,128.28,11.0
8.0,652.09,11.0
10.0,73.66,11.0
13.0,158.69,11.0
18.0,510.88,11.0
19.0,127.94,11.0
21.0,301.93,11.0
22.0,268.55,11.0
24.0,66.13,11.0
25.0,77.06,11.0
26.0,41.41,11.0
29.0,315.08,11.0
33.0,247.24,11.0
34.0,276.82,11.0
35.0,539.96,11.0
36.0,60.73,11.0
37.0,125.58,11.0
38.0,469.87,11.0
39.0,419.5,11.0
41.0,105.9,11.0
42.0,403.47,11.0
43.0,491.41,11.0
44.0,488.9,11.0
45.0,280.62,11.0
46.0,27.95,11.0
47.0,577.02,11.0
50.0,358.21,11.0
53.0,532.49,11.0
54.0,548.33,11.0
55.0,548.33,11.0
57.0,13.2,11.0
58.0,13.2,11.0
60.0,399.06,11.0
30.0,571.99,12.0
35.0,603.78,12.0
47.0,661.19,12.0
48.0,646.35,12.0
56.0,280.04,12.0
60.0,559.76,12.0
1.0,156.07,13.0
2.0,287.55,13.0
3.0,38.46,13.0
4.0,201.84,13.0
5.0,193.29,13.0
6.0,152.22,13.0
7.0,135.03,13.0
8.0,705.99,13.0
12.0,57.33,13.0
13.0,162.66,13.0
14.0,73.53,13.0
17.0,131.84,13.0
19.0,160.75,13.0
20.0,73.53,13.0
21.0,378.46,13.0
22.0,345.08,13.0
23.0,47.64,13.0
25.0,146.67,13.0
26.0,70.77,13.0
29.0,340.43,13.0
37.0,136.3,13.0
38.0,426.56,13.0
39.0,376.19,13.0
40.0,74.31,13.0
41.0,130.86,13.0
42.0,360.16,13.0
43.0,448.1,13.0
44.0,445.59,13.0
45.0,320.81,13.0
46.0,86.05,13.0
50.0,377.33,13.0
53.0,489.18,13.0
54.0,484.76,13.0
55.0,484.76,13.0
57.0,75.77,13.0
58.0,75.77,13.0
60.0,475.59,13.0
15.0,15.58,14.0
1.0,219.37,15.0
2.0,491.67,15.0
3.0,207.31,15.0
4.0,295.45,15.0
5.0,268.38,15.0
6.0,215.52,15.0
7.0,181.29,15.0
10.0,242.54,15.0
12.0,180.41,15.0
13.0,315.79,15.0
14.0,165.39,15.0
17.0,114.02,15.0
19.0,285.04,15.0
20.0,165.39,15.0
21.0,187.39,15.0
22.0,164.43,15.0
23.0,192.47,15.0
24.0,243.91,15.0
25.0,134.16,15.0
26.0,194.14,15.0
29.0,472.19,15.0
33.0,302.86,15.0
34.0,172.59,15.0
36.0,220.68,15.0
37.0,171.94,15.0
40.0,162.57,15.0
41.0,152.27,15.0
42.0,564.28,15.0
46.0,177.72,15.0
50.0,309.11,15.0
54.0,580.72,15.0
55.0,580.72,15.0
57.0,172.81,15.0
58.0,172.81,15.0
60.0,289.83,15.0
1.0,502.63,16.0
3.0,435.65,16.0
4.0,455.27,16.0
5.0,551.64,16.0
6.0,498.78,16.0
7.0,464.56,16.0
8.0,710.77,16.0
9.0,535.55,16.0
10.0,462.01,16.0
12.0,408.75,16.0
13.0,544.13,16.0
14.0,393.73,16.0
16.0,439.75,16.0
17.0,385.11,16.0
18.0,411.54,16.0
19.0,470.23,16.0
20.0,393.73,16.0
21.0,100.44,16.0
23.0,420.82,16.0
24.0,454.48,16.0
25.0,331.65,16.0
26.0,422.48,16.0
31.0,439.34,16.0
32.0,431.78,16.0
33.0,586.13,16.0
34.0,444.36,16.0
35.0,598.64,16.0
36.0,437.15,16.0
37.0,455.21,16.0
40.0,390.91,16.0
41.0,435.54,16.0
45.0,448.17,16.0
46.0,397.11,16.0
47.0,635.7,16.0
48.0,631.75,16.0
50.0,580.88,16.0
57.0,401.15,16.0
58.0,401.15,16.0
1.0,187.94,17.0
2.0,329.71,17.0
3.0,54.85,17.0
4.0,147.87,17.0
5.0,242.25,17.0
6.0,184.09,17.0
7.0,166.89,17.0
8.0,630.79,17.0
10.0,81.74,17.0
12.0,37.11,17.0
13.0,149.14,17.0
14.0,29.41,17.0
17.0,69.9,17.0
18.0,538.01,17.0
19.0,118.39,17.0
20.0,29.41,17.0
21.0,306.62,17.0
22.0,273.25,17.0
23.0,40.54,17.0
24.0,74.2,17.0
25.0,68.2,17.0
29.0,305.53,17.0
33.0,276.75,17.0
34.0,303.95,17.0
35.0,518.66,17.0
36.0,68.8,17.0
37.0,168.17,17.0
38.0,468.71,17.0
39.0,418.35,17.0
40.0,23.07,17.0
41.0,133.03,17.0
42.0,402.32,17.0
43.0,490.26,17.0
44.0,487.75,17.0
45.0,307.76,17.0
47.0,555.72,17.0
48.0,551.77,17.0
50.0,409.29,17.0
53.0,531.34,17.0
54.0,556.4,17.0
55.0,556.4,17.0
60.0,403.75,17.0
4.0,477.1,18.0
8.0,97.26,18.0
9.0,687.52,18.0
13.0,535.94,18.0
19.0,533.56,18.0
21.0,559.14,18.0
22.0,552.57,18.0
25.0,556.03,18.0
26.0,556.48,18.0
29.0,443.18,18.0
31.0,463.82,18.0
32.0,467.61,18.0
38.0,793.3,18.0
39.0,742.93,18.0
42.0,516.68,18.0
43.0,510.09,18.0
44.0,437.75,18.0
46.0,558.76,18.0
53.0,578.77,18.0
57.0,562.54,18.0
58.0,562.54,18.0
60.0,642.02,18.0
1.0,462.25,19.0
2.0,167.73,19.0
3.0,341.55,19.0
4.0,300.33,19.0
5.0,499.46,19.0
6.0,458.39,19.0
7.0,441.2,19.0
8.0,607.72,19.0
10.0,330.19,19.0
12.0,348.02,19.0
13.0,235.69,19.0
14.0,350.15,19.0
17.0,404.01,19.0
19.0,283.63,19.0
20.0,350.15,19.0
23.0,350.73,19.0
24.0,321.11,19.0
25.0,413.76,19.0
26.0,318.29,19.0
29.0,255.75,19.0
33.0,533.97,19.0
35.0,664.47,19.0
36.0,344.78,19.0
37.0,442.47,19.0
40.0,350.94,19.0
41.0,437.03,19.0
42.0,213.38,19.0
43.0,165.47,19.0
44.0,249.96,19.0
46.0,353.13,19.0
47.0,675.08,19.0
48.0,691.27,19.0
53.0,180.93,19.0
57.0,342.86,19.0
58.0,342.86,19.0
9.0,262.97,20.0
27.0,322.78,20.0
28.0,346.82,20.0
30.0,286.37,20.0
31.0,517.61,20.0
32.0,510.04,20.0
2.0,331.12,21.0
5.0,243.66,21.0
8.0,633.7,21.0
10.0,83.15,21.0
18.0,537.58,21.0
21.0,303.17,21.0
22.0,269.79,21.0
24.0,75.62,21.0
25.0,64.75,21.0
29.0,311.64,21.0
33.0,278.17,21.0
35.0,521.56,21.0
36.0,70.21,21.0
42.0,403.74,21.0
43.0,491.68,21.0
44.0,489.17,21.0
47.0,558.62,21.0
48.0,554.68,21.0
50.0,408.85,21.0
53.0,532.76,21.0
54.0,557.81,21.0
55.0,557.81,21.0
60.0,400.3,21.0
1.0,156.07,22.0
3.0,38.46,22.0
4.0,201.84,22.0
6.0,152.22,22.0
7.0,135.03,22.0
8.0,705.99,22.0
12.0,57.33,22.0
13.0,162.66,22.0
14.0,73.53,22.0
17.0,131.84,22.0
19.0,160.75,22.0
20.0,73.53,22.0
21.0,378.46,22.0
22.0,345.08,22.0
23.0,47.64,22.0
25.0,146.67,22.0
26.0,70.77,22.0
29.0,340.43,22.0
34.0,296.21,22.0
37.0,136.3,22.0
38.0,426.56,22.0
39.0,376.19,22.0
40.0,74.31,22.0
41.0,130.86,22.0
42.0,360.16,22.0
43.0,448.1,22.0
44.0,445.59,22.0
45.0,320.81,22.0
46.0,86.05,22.0
50.0,377.33,22.0
53.0,489.18,22.0
54.0,484.76,22.0
55.0,484.76,22.0
57.0,75.77,22.0
58.0,75.77,22.0
60.0,475.59,22.0
30.0,571.99,23.0
35.0,603.78,23.0
47.0,661.19,23.0
48.0,646.35,23.0
60.0,559.76,23.0
15.0,17.35,24.0
4.0,479.89,25.0
8.0,100.06,25.0
9.0,691.46,25.0
13.0,538.74,25.0
19.0,536.36,25.0
21.0,561.93,25.0
25.0,558.82,25.0
26.0,559.28,25.0
29.0,445.98,25.0
31.0,467.76,25.0
32.0,471.54,25.0
38.0,796.09,25.0
39.0,745.72,25.0
42.0,519.48,25.0
43.0,512.88,25.0
44.0,440.55,25.0
46.0,561.55,25.0
53.0,581.57,25.0
57.0,565.34,25.0
58.0,565.34,25.0
2.0,287.55,26.0
3.0,38.46,26.0
4.0,201.84,26.0
5.0,193.29,26.0
8.0,705.99,26.0
12.0,57.33,26.0
13.0,162.66,26.0
14.0,73.53,26.0
17.0,131.84,26.0
19.0,160.75,26.0
20.0,73.53,26.0
21.0,378.46,26.0
22.0,345.08,26.0
23.0,47.64,26.0
24.0,17.19,26.0
25.0,146.67,26.0
26.0,70.77,26.0
29.0,340.43,26.0
33.0,227.8,26.0
38.0,426.56,26.0
39.0,376.19,26.0
40.0,74.31,26.0
42.0,360.16,26.0
43.0,448.1,26.0
44.0,445.59,26.0
46.0,86.05,26.0
50.0,377.33,26.0
53.0,489.18,26.0
54.0,484.76,26.0
55.0,484.76,26.0
57.0,75.77,26.0
58.0,75.77,26.0
60.0,475.59,26.0
8.0,97.35,27.0
13.0,467.91,27.0
20.0,600.7,27.0
25.0,596.81,27.0
26.0,583.7,27.0
31.0,641.93,27.0
32.0,645.72,27.0
35.0,209.78,27.0
38.0,665.67,27.0
39.0,615.3,27.0
40.0,600.6,27.0
42.0,338.91,27.0
43.0,332.31,27.0
44.0,259.98,27.0
47.0,164.71,27.0
48.0,180.89,27.0
53.0,401.0,27.0
1.0,303.48,28.0
2.0,266.58,28.0
3.0,147.38,28.0
4.0,56.38,28.0
6.0,299.63,28.0
7.0,282.43,28.0
8.0,517.94,28.0
10.0,191.86,28.0
12.0,147.24,28.0
14.0,136.44,28.0
17.0,186.45,28.0
19.0,18.42,28.0
21.0,433.06,28.0
22.0,399.69,28.0
23.0,150.67,28.0
24.0,184.33,28.0
25.0,196.2,28.0
29.0,186.51,28.0
34.0,420.5,28.0
35.0,491.96,28.0
36.0,178.93,28.0
37.0,283.71,28.0
38.0,363.52,28.0
39.0,313.15,28.0
40.0,139.62,28.0
41.0,249.59,28.0
42.0,262.01,28.0
43.0,349.95,28.0
44.0,347.44,28.0
45.0,424.31,28.0
46.0,131.32,28.0
47.0,529.02,28.0
48.0,525.07,28.0
50.0,524.74,28.0
53.0,426.15,28.0
54.0,632.16,28.0
55.0,632.16,28.0
57.0,125.73,28.0
58.0,125.73,28.0
60.0,530.2,28.0
30.0,571.99,29.0
35.0,603.78,29.0
47.0,661.19,29.0
48.0,646.35,29.0
56.0,280.04,29.0
60.0,559.76,29.0
15.0,15.58,30.0
27.0,428.79,30.0
28.0,407.09,30.0
30.0,463.8,30.0
1.0,502.63,31.0
3.0,435.65,31.0
4.0,455.27,31.0
5.0,551.64,31.0
6.0,498.78,31.0
7.0,464.56,31.0
8.0,710.77,31.0
9.0,535.55,31.0
10.0,462.01,31.0
12.0,408.75,31.0
13.0,544.13,31.0
14.0,393.73,31.0
16.0,439.75,31.0
17.0,385.11,31.0
18.0,411.54,31.0
19.0,470.23,31.0
20.0,393.73,31.0
21.0,100.44,31.0
23.0,420.82,31.0
24.0,454.48,31.0
25.0,331.65,31.0
26.0,422.48,31.0
31.0,439.34,31.0
32.0,431.78,31.0
33.0,586.13,31.0
34.0,444.36,31.0
35.0,598.64,31.0
36.0,437.15,31.0
37.0,455.21,31.0
40.0,390.91,31.0
41.0,435.54,31.0
45.0,448.17,31.0
46.0,397.11,31.0
47.0,635.7,31.0
48.0,631.75,31.0
50.0,580.88,31.0
57.0,401.15,31.0
58.0,401.15,31.0
11.0,281.77,32.0
15.0,378.36,32.0
51.0,391.38,32.0
56.0,388.06,32.0
61.0,365.84,32.0
4.0,475.11,33.0
8.0,91.55,33.0
9.0,694.21,33.0
13.0,533.96,33.0
19.0,531.58,33.0
21.0,557.16,33.0
22.0,550.59,33.0
25.0,554.04,33.0
26.0,554.5,33.0
29.0,437.47,33.0
31.0,470.51,33.0
32.0,474.3,33.0
38.0,787.58,33.0
39.0,737.21,33.0
42.0,510.97,33.0
43.0,504.37,33.0
44.0,432.04,33.0
46.0,556.77,33.0
53.0,573.06,33.0
57.0,560.56,33.0
58.0,560.56,33.0
60.0,640.04,33.0
1.0,539.47,34.0
2.0,242.81,34.0
3.0,418.77,34.0
4.0,358.62,34.0
5.0,576.68,34.0
6.0,535.61,34.0
7.0,518.42,34.0
8.0,666.01,34.0
10.0,407.41,34.0
12.0,425.24,34.0
13.0,293.98,34.0
14.0,427.38,34.0
17.0,481.23,34.0
19.0,341.92,34.0
20.0,427.38,34.0
23.0,427.95,34.0
24.0,398.33,34.0
25.0,490.98,34.0
26.0,395.5,34.0
29.0,314.04,34.0
33.0,611.19,34.0
35.0,722.76,34.0
36.0,422.0,34.0
37.0,519.69,34.0
40.0,428.17,34.0
41.0,514.25,34.0
42.0,177.19,34.0
43.0,111.02,34.0
44.0,195.51,34.0
46.0,430.35,34.0
47.0,733.37,34.0
53.0,104.55,34.0
57.0,420.08,34.0
58.0,420.08,34.0
1.0,187.94,35.0
2.0,329.71,35.0
3.0,54.85,35.0
4.0,147.87,35.0
5.0,242.25,35.0
6.0,184.09,35.0
7.0,166.89,35.0
8.0,630.79,35.0
10.0,81.74,35.0
12.0,37.11,35.0
13.0,149.14,35.0
14.0,29.41,35.0
17.0,69.9,35.0
18.0,538.01,35.0
19.0,118.39,35.0
20.0,29.41,35.0
21.0,306.62,35.0
22.0,273.25,35.0
23.0,40.54,35.0
24.0,74.2,35.0
25.0,68.2,35.0
26.0,27.48,35.0
29.0,305.53,35.0
33.0,276.75,35.0
34.0,303.95,35.0
35.0,518.66,35.0
36.0,68.8,35.0
37.0,168.17,35.0
38.0,468.71,35.0
39.0,418.35,35.0
41.0,133.03,35.0
42.0,402.32,35.0
43.0,490.26,35.0
44.0,487.75,35.0
45.0,307.76,35.0
46.0,3.68,35.0
47.0,555.72,35.0
48.0,551.77,35.0
50.0,409.29,35.0
53.0,531.34,35.0
54.0,556.4,35.0
55.0,556.4,35.0
57.0,12.51,35.0
58.0,12.51,35.0
60.0,403.75,35.0
9.0,262.97,36.0
27.0,322.78,36.0
28.0,346.82,36.0
30.0,286.37,36.0
31.0,517.61,36.0
32.0,510.04,36.0
1.0,470.13,37.0
2.0,173.08,37.0
3.0,349.44,37.0
4.0,312.68,37.0
5.0,507.35,37.0
6.0,466.28,37.0
7.0,449.08,37.0
8.0,619.71,37.0
10.0,338.07,37.0
12.0,355.9,37.0
13.0,248.05,37.0
14.0,358.04,37.0
17.0,411.9,37.0
19.0,295.98,37.0
20.0,358.04,37.0
23.0,358.61,37.0
24.0,329.0,37.0
25.0,421.64,37.0
26.0,326.17,37.0
29.0,267.74,37.0
33.0,541.86,37.0
35.0,676.46,37.0
36.0,352.66,37.0
37.0,450.36,37.0
38.0,126.38,37.0
40.0,358.83,37.0
41.0,444.92,37.0
42.0,225.37,37.0
43.0,173.55,37.0
44.0,258.04,37.0
46.0,361.02,37.0
47.0,687.07,37.0
53.0,189.01,37.0
57.0,350.75,37.0
58.0,350.75,37.0
1.0,189.35,38.0
2.0,331.12,38.0
3.0,56.27,38.0
4.0,150.77,38.0
5.0,243.66,38.0
6.0,185.5,38.0
7.0,154.97,38.0
8.0,633.7,38.0
10.0,83.15,38.0
12.0,38.52,38.0
13.0,155.24,38.0
14.0,24.11,38.0
17.0,69.46,38.0
18.0,537.58,38.0
19.0,124.49,38.0
20.0,24.11,38.0
21.0,303.17,38.0
22.0,269.79,38.0
23.0,41.95,38.0
24.0,75.62,38.0
25.0,64.75,38.0
26.0,33.59,38.0
29.0,311.64,38.0
33.0,278.17,38.0
34.0,303.51,38.0
35.0,521.56,38.0
36.0,70.21,38.0
37.0,152.27,38.0
38.0,470.13,38.0
39.0,419.76,38.0
40.0,22.63,38.0
41.0,132.6,38.0
42.0,403.74,38.0
43.0,491.68,38.0
44.0,489.17,38.0
45.0,307.32,38.0
47.0,558.62,38.0
48.0,554.68,38.0
50.0,408.85,38.0
53.0,532.76,38.0
54.0,557.81,38.0
55.0,557.81,38.0
58.0,12.07,38.0
60.0,400.3,38.0
1.0,187.94,39.0
2.0,329.71,39.0
5.0,242.25,39.0
6.0,184.09,39.0
7.0,166.89,39.0
8.0,630.79,39.0
10.0,81.74,39.0
13.0,149.14,39.0
17.0,69.9,39.0
18.0,538.01,39.0
19.0,118.39,39.0
20.0,29.41,39.0
21.0,306.62,39.0
22.0,273.25,39.0
23.0,40.54,39.0
24.0,74.2,39.0
25.0,68.2,39.0
26.0,27.48,39.0
29.0,305.53,39.0
33.0,276.75,39.0
34.0,303.95,39.0
35.0,518.66,39.0
36.0,68.8,39.0
37.0,168.17,39.0
38.0,468.71,39.0
39.0,418.35,39.0
41.0,133.03,39.0
42.0,402.32,39.0
43.0,490.26,39.0
44.0,487.75,39.0
45.0,307.76,39.0
47.0,555.72,39.0
48.0,551.77,39.0
50.0,409.29,39.0
53.0,531.34,39.0
54.0,556.4,39.0
55.0,556.4,39.0
60.0,403.75,39.0
1.0,156.07,40.0
2.0,287.55,40.0
3.0,38.46,40.0
4.0,201.84,40.0
8.0,705.99,40.0
10.0,25.04,40.0
12.0,57.33,40.0
13.0,162.66,40.0
14.0,73.53,40.0
19.0,160.75,40.0
20.0,73.53,40.0
21.0,378.46,40.0
22.0,345.08,40.0
25.0,146.67,40.0
26.0,70.77,40.0
29.0,340.43,40.0
34.0,296.21,40.0
36.0,41.69,40.0
38.0,426.56,40.0
39.0,376.19,40.0
40.0,74.31,40.0
41.0,130.86,40.0
42.0,360.16,40.0
43.0,448.1,40.0
44.0,445.59,40.0
45.0,320.81,40.0
46.0,86.05,40.0
50.0,377.33,40.0
53.0,489.18,40.0
54.0,484.76,40.0
55.0,484.76,40.0
57.0,75.77,40.0
58.0,75.77,40.0
60.0,475.59,40.0
15.0,8.4,41.0
27.0,424.38,41.0
28.0,402.68,41.0
30.0,459.39,41.0
61.0,21.16,41.0
1.0,219.37,42.0
2.0,491.67,42.0
3.0,207.31,42.0
4.0,295.45,42.0
5.0,268.38,42.0
6.0,215.52,42.0
7.0,181.29,42.0
10.0,242.54,42.0
12.0,180.41,42.0
13.0,315.79,42.0
14.0,165.39,42.0
16.0,406.94,42.0
17.0,114.02,42.0
19.0,285.04,42.0
20.0,165.39,42.0
21.0,187.39,42.0
22.0,164.43,42.0
23.0,192.47,42.0
24.0,243.91,42.0
25.0,134.16,42.0
26.0,194.14,42.0
29.0,472.19,42.0
33.0,302.86,42.0
36.0,220.68,42.0
37.0,171.94,42.0
40.0,162.57,42.0
41.0,152.27,42.0
42.0,564.28,42.0
46.0,177.72,42.0
50.0,309.11,42.0
54.0,580.72,42.0
55.0,580.72,42.0
57.0,172.81,42.0
58.0,172.81,42.0
60.0,289.83,42.0
1.0,430.3,43.0
2.0,503.07,43.0
3.0,297.21,43.0
4.0,208.18,43.0
5.0,484.61,43.0
6.0,426.45,43.0
7.0,409.25,43.0
8.0,465.43,43.0
10.0,324.1,43.0
12.0,279.47,43.0
13.0,267.03,43.0
14.0,271.77,43.0
17.0,259.79,43.0
18.0,563.57,43.0
19.0,232.31,43.0
20.0,271.77,43.0
21.0,169.03,43.0
23.0,282.9,43.0
24.0,316.56,43.0
25.0,193.93,43.0
26.0,252.39,43.0
29.0,376.05,43.0
31.0,611.73,43.0
32.0,604.16,43.0
33.0,519.11,43.0
34.0,422.88,43.0
35.0,353.3,43.0
36.0,311.16,43.0
37.0,410.52,43.0
38.0,600.01,43.0
39.0,549.64,43.0
40.0,271.68,43.0
41.0,381.64,43.0
42.0,469.51,43.0
43.0,557.45,43.0
44.0,554.94,43.0
45.0,426.69,43.0
46.0,254.67,43.0
47.0,390.36,43.0
48.0,386.41,43.0
50.0,559.4,43.0
53.0,662.64,43.0
57.0,258.45,43.0
58.0,258.45,43.0
11.0,281.77,44.0
15.0,378.36,44.0
27.0,52.38,44.0
28.0,30.68,44.0
51.0,391.38,44.0
56.0,388.06,44.0
61.0,365.84,44.0
9.0,48.2,45.0
30.0,571.99,45.0
35.0,603.78,45.0
47.0,661.19,45.0
48.0,646.35,45.0
56.0,280.04,45.0
60.0,559.76,45.0
4.0,479.89,46.0
8.0,100.06,46.0
9.0,691.46,46.0
13.0,538.74,46.0
19.0,536.36,46.0
21.0,561.93,46.0
22.0,555.36,46.0
25.0,558.82,46.0
26.0,559.28,46.0
29.0,445.98,46.0
31.0,467.76,46.0
32.0,471.54,46.0
38.0,796.09,46.0
39.0,745.72,46.0
42.0,519.48,46.0
43.0,512.88,46.0
44.0,440.55,46.0
46.0,561.55,46.0
47.0,24.98,46.0
53.0,581.57,46.0
57.0,565.34,46.0
58.0,565.34,46.0
60.0,644.82,46.0
1.0,462.25,47.0
2.0,167.73,47.0
3.0,341.55,47.0
4.0,300.33,47.0
5.0,499.46,47.0
6.0,458.39,47.0
7.0,441.2,47.0
8.0,607.72,47.0
10.0,330.19,47.0
12.0,348.02,47.0
13.0,235.69,47.0
14.0,350.15,47.0
17.0,404.01,47.0
19.0,283.63,47.0
20.0,350.15,47.0
23.0,350.73,47.0
24.0,321.11,47.0
25.0,413.76,47.0
26.0,318.29,47.0
29.0,255.75,47.0
33.0,533.97,47.0
35.0,664.47,47.0
36.0,344.78,47.0
37.0,442.47,47.0
40.0,350.94,47.0
41.0,437.03,47.0
42.0,213.38,47.0
43.0,165.47,47.0
44.0,249.96,47.0
46.0,353.13,47.0
47.0,675.08,47.0
48.0,691.27,47.0
53.0,180.93,47.0
57.0,342.86,47.0
58.0,342.86,47.0
8.0,632.98,48.0
21.0,305.47,48.0
25.0,67.05,48.0
29.0,310.92,48.0
35.0,520.84,48.0
42.0,403.02,48.0
43.0,490.95,48.0
44.0,488.45,48.0
47.0,557.9,48.0
48.0,553.95,48.0
50.0,408.13,48.0
53.0,532.04,48.0
54.0,557.09,48.0
55.0,557.09,48.0
57.0,11.35,48.0
58.0,11.35,48.0
60.0,402.6,48.0
30.0,571.99,49.0
35.0,603.78,49.0
47.0,661.19,49.0
48.0,646.35,49.0
56.0,280.04,49.0
60.0,559.76,49.0
4.0,479.89,50.0
8.0,100.06,50.0
9.0,691.46,50.0
13.0,538.74,50.0
19.0,536.36,50.0
21.0,561.93,50.0
22.0,555.36,50.0
25.0,558.82,50.0
26.0,559.28,50.0
29.0,445.98,50.0
31.0,467.76,50.0
32.0,471.54,50.0
35.0,50.37,50.0
38.0,796.09,50.0
39.0,745.72,50.0
42.0,519.48,50.0
43.0,512.88,50.0
44.0,440.55,50.0
46.0,561.55,50.0
47.0,24.98,50.0
48.0,7.61,50.0
53.0,581.57,50.0
57.0,565.34,50.0
58.0,565.34,50.0
60.0,644.82,50.0
4.0,480.8,51.0
8.0,100.96,51.0
9.0,692.36,51.0
13.0,539.65,51.0
19.0,537.26,51.0
21.0,562.84,51.0
22.0,556.27,51.0
25.0,559.73,51.0
26.0,560.18,51.0
31.0,468.66,51.0
32.0,472.45,51.0
38.0,797.0,51.0
39.0,746.63,51.0
42.0,520.39,51.0
43.0,513.79,51.0
44.0,441.45,51.0
46.0,562.46,51.0
53.0,582.48,51.0
60.0,645.72,51.0
11.0,102.96,52.0
15.0,8.4,52.0
27.0,424.38,52.0
28.0,402.68,52.0
51.0,10.86,52.0
61.0,21.16,52.0
9.0,262.97,53.0
27.0,322.78,53.0
28.0,346.82,53.0
30.0,286.37,53.0
31.0,517.61,53.0
32.0,510.04,53.0
15.0,18.04,58.0
30.0,466.88,58.0
51.0,24.28,58.0
